"date","MAX(test.southSupply)"
"2016-10-01",1045.2
"2016-10-02",989.5
"2016-10-03",1083
"2016-10-04",1095.8
"2016-10-05",1109
"2016-10-06",1146.8
"2016-10-07",1069.6
"2016-10-08",980
"2016-10-09",872.8
"2016-10-10",927.6
"2016-10-11",1059.9
"2016-10-12",1086.7
"2016-10-13",1083.1
"2016-10-14",1043.8
"2016-10-15",1035.2
"2016-10-16",878.5
"2016-10-17",1092.4
"2016-10-18",1140.2
"2016-10-19",1130.6
"2016-10-20",1138.5
"2016-10-21",1171.6
"2016-10-22",1061.6
"2016-10-23",935.7
"2016-10-24",1106.4
"2016-10-25",1114.1
"2016-10-26",1124.5
"2016-10-27",1115.9
"2016-10-28",1094.9
"2016-10-29",932.4
"2016-10-30",792.4
"2016-10-31",963.5
"2016-11-01",1030.8
"2016-11-02",1033.9
"2016-11-03",1028.1
"2016-11-04",1014.1
"2016-11-05",954.7
"2016-11-06",881.8
"2016-11-07",1034.4
"2016-11-08",1015.5
"2016-11-09",1029.3
"2016-11-10",983.8
"2016-11-11",956.8
"2016-11-12",885.7
"2016-11-13",818.9
"2016-11-14",1003
"2016-11-15",997.4
"2016-11-16",1028.6
"2016-11-17",1012.8
"2016-11-18",988.2
"2016-11-19",1002.3
"2016-11-20",911.6
"2016-11-21",1064.1
"2016-11-22",1076.1
"2016-11-23",1043.9
"2016-11-24",1088.4
"2016-11-25",1067.4
"2016-11-26",1036.1
"2016-11-27",926.3
"2016-11-28",1076.7
"2016-11-29",1060
"2016-11-30",1033.4
"2016-12-01",1080.1
"2016-12-02",1108.2
"2016-12-03",1077.1
"2016-12-04",942.9
"2016-12-05",1123.8
"2016-12-06",1121
"2016-12-07",1133.6
"2016-12-08",1120.3
"2016-12-09",1135
"2016-12-10",993.7
"2016-12-11",895.3
"2016-12-12",1078.4
"2016-12-13",1110.5
"2016-12-14",1105
"2016-12-15",1095.3
"2016-12-16",1094.6
"2016-12-17",996
"2016-12-18",934.4
"2016-12-19",1117.1
"2016-12-20",1104.8
"2016-12-21",1106.7
"2016-12-22",1098.8
"2016-12-23",1107.8
"2016-12-24",995.8
"2016-12-25",914.4
"2016-12-26",1048.6
"2016-12-27",1013.1
"2016-12-28",1054.3
"2016-12-29",1038.6
"2016-12-30",1072.4
"2016-12-31",914.5
"2017-01-01",923.7
"2017-01-02",965.3
"2017-01-03",1196.8
"2017-01-04",1165.5
"2017-01-05",1148
"2017-01-06",1173.6
"2017-01-07",1091.3
"2017-01-08",950.8
"2017-01-09",1116.5
"2017-01-10",1105.3
"2017-01-11",1116.5
"2017-01-12",1133.7
"2017-01-13",1091.4
"2017-01-14",1022.2
"2017-01-15",946
"2017-01-16",1079.6
"2017-01-17",1112.6
"2017-01-18",1118.7
"2017-01-19",1129.3
"2017-01-20",1165.3
"2017-01-21",997.7
"2017-01-22",1028.4
"2017-01-23",1084.6
"2017-01-24",1043.1
"2017-04-19",1090.2
"2017-04-20",1140.1
"2017-04-21",1163.7
"2017-04-22",853.4
"2017-04-23",847.9
"2017-04-24",967.8
"2017-04-25",1033.3
"2017-04-26",1064.7
"2017-04-27",988.2
"2017-04-28",1009.8
"2017-04-29",961.2
"2017-04-30",833.9
"2017-05-01",925.4
"2017-05-02",1038.8
"2017-05-03",1089.2
"2017-05-04",1117.2
"2017-05-05",1143.1
"2017-05-06",1066.2
"2017-05-07",896.9
"2017-05-08",1161.8
"2017-05-09",1174.4
"2017-05-10",1184.5
"2017-05-11",1168.7
"2017-05-12",1112
"2017-05-13",957.1
"2017-05-14",903.3
"2017-05-15",1105.9
"2017-05-16",1011.8
"2017-05-17",1034.4
"2017-05-18",1096.7
"2017-05-19",1092.8
"2017-05-20",893.7
"2017-05-21",888.6
"2017-05-22",1098.3
"2017-05-23",1068.7
"2017-05-24",1071.5
"2017-05-25",1047.4
"2017-05-26",977.4
"2017-05-27",896.1
"2017-05-28",821.6
"2017-05-29",878.9
"2017-05-30",820.5
"2017-05-31",1114.3
"2017-06-01",1096.2
"2017-06-02",1101.2
"2017-06-03",1067.9
"2017-06-04",871.2
"2017-06-05",1108.3
"2017-06-06",1119.9
"2017-06-07",1168.3
"2017-06-08",1212
"2017-06-09",1178.7
"2017-06-10",1102.3
"2017-06-11",958.5
"2017-06-12",1137.3
"2017-06-13",1188.2
"2017-06-14",1074.6
"2017-06-15",1059.2
"2017-06-16",1079.9
"2017-06-17",964.8
"2017-06-18",890.7
"2017-06-19",1124.9
"2017-06-20",1186.8
"2017-06-21",1169.1
"2017-06-22",1194.1
"2017-06-23",1145
"2017-06-24",1066.8
"2017-06-25",934.1
"2017-06-26",1256.4
"2017-06-27",1242.9
"2017-06-28",1245.4
"2017-06-29",1246.9
"2017-06-30",1252.52017-06-27",1242.9
"2017-06-28",1245.4
"2017-06-29",1246.9
"2017-06-30",1252.5