South area,Date,Max Temperature
Kaohsiung,2016-10-01,29.3
Kaohsiung,2016-10-02,31.8
Kaohsiung,2016-10-03,30.5
Kaohsiung,2016-10-04,30.8
Kaohsiung,2016-10-05,31.1
Kaohsiung,2016-10-06,31.1
Kaohsiung,2016-10-07,30.4
Kaohsiung,2016-10-08,28.1
Kaohsiung,2016-10-09,28.8
Kaohsiung,2016-10-10,29.8
Kaohsiung,2016-10-11,30.1
Kaohsiung,2016-10-12,30.5
Kaohsiung,2016-10-13,30.4
Kaohsiung,2016-10-14,30.6
Kaohsiung,2016-10-15,30.5
Kaohsiung,2016-10-16,30.8
Kaohsiung,2016-10-17,30.9
Kaohsiung,2016-10-18,31.2
Kaohsiung,2016-10-19,31.1
Kaohsiung,2016-10-20,31.9
Kaohsiung,2016-10-21,32.3
Kaohsiung,2016-10-22,31.4
Kaohsiung,2016-10-23,31.5
Kaohsiung,2016-10-24,32.0
Kaohsiung,2016-10-25,30.9
Kaohsiung,2016-10-26,31.0
Kaohsiung,2016-10-27,31.5
Kaohsiung,2016-10-28,30.9
Kaohsiung,2016-10-29,30.5
Kaohsiung,2016-10-30,29.3
Kaohsiung,2016-10-31,29.9
Kaohsiung,2016-11-01,29.7
Kaohsiung,2016-11-02,28.9
Kaohsiung,2016-11-03,28.2
Kaohsiung,2016-11-04,29.0
Kaohsiung,2016-11-05,29.0
Kaohsiung,2016-11-06,29.1
Kaohsiung,2016-11-07,29.3
Kaohsiung,2016-11-08,29.9
Kaohsiung,2016-11-09,27.8
Kaohsiung,2016-11-10,29.4
Kaohsiung,2016-11-11,25.9
Kaohsiung,2016-11-12,28.6
Kaohsiung,2016-11-13,28.7
Kaohsiung,2016-11-14,28.5
Kaohsiung,2016-11-15,28.5
Kaohsiung,2016-11-16,29.3
Kaohsiung,2016-11-17,28.6
Kaohsiung,2016-11-18,29.4
Kaohsiung,2016-11-19,31.1
Kaohsiung,2016-11-20,29.9
Kaohsiung,2016-11-21,29.6
Kaohsiung,2016-11-22,27.2
Kaohsiung,2016-11-23,27.0
Kaohsiung,2016-11-24,26.4
Kaohsiung,2016-11-25,27.2
Kaohsiung,2016-11-26,28.2
Kaohsiung,2016-11-27,22.6
Kaohsiung,2016-11-28,24.3
Kaohsiung,2016-11-29,27.2
Kaohsiung,2016-11-30,26.1
Kaohsiung,2016-12-01,28.6
Kaohsiung,2016-12-02,27.5
Kaohsiung,2016-12-03,27.6
Kaohsiung,2016-12-04,28.7
Kaohsiung,2016-12-05,29.3
Kaohsiung,2016-12-06,25.5
Kaohsiung,2016-12-07,26.0
Kaohsiung,2016-12-08,27.2
Kaohsiung,2016-12-09,26.7
Kaohsiung,2016-12-10,26.4
Kaohsiung,2016-12-11,26.1
Kaohsiung,2016-12-12,28.1
Kaohsiung,2016-12-13,29.3
Kaohsiung,2016-12-14,26.2
Kaohsiung,2016-12-15,24.2
Kaohsiung,2016-12-16,20.6
Kaohsiung,2016-12-17,24.2
Kaohsiung,2016-12-18,26.0
Kaohsiung,2016-12-19,26.6
Kaohsiung,2016-12-20,28.8
Kaohsiung,2016-12-21,27.9
Kaohsiung,2016-12-22,29.7
Kaohsiung,2016-12-23,25.2
Kaohsiung,2016-12-24,25.9
Kaohsiung,2016-12-25,26.7
Kaohsiung,2016-12-26,27.2
Kaohsiung,2016-12-27,24.1
Kaohsiung,2016-12-28,19.2
Kaohsiung,2016-12-29,21.5
Kaohsiung,2016-12-30,22.5
Kaohsiung,2016-12-31,25.7
Kaohsiung,2017-01-01,25.4
Kaohsiung,2017-01-02,26.2
Kaohsiung,2017-01-03,24.8
Kaohsiung,2017-01-04,25.4
Kaohsiung,2017-01-05,26.5
Kaohsiung,2017-01-06,28.3
Kaohsiung,2017-01-07,27.1
Kaohsiung,2017-01-08,28.0
Kaohsiung,2017-01-09,25.4
Kaohsiung,2017-01-10,25.6
Kaohsiung,2017-01-11,24.8
Kaohsiung,2017-01-12,25.3
Kaohsiung,2017-01-13,26.2
Kaohsiung,2017-01-14,23.3
Kaohsiung,2017-01-15,23.3
Kaohsiung,2017-01-16,23.4
Kaohsiung,2017-01-17,24.0
Kaohsiung,2017-01-18,26.2
Kaohsiung,2017-01-19,27.8
Kaohsiung,2017-01-20,25.2
Kaohsiung,2017-01-21,23.8
Kaohsiung,2017-01-22,22.8
Kaohsiung,2017-01-23,22.9
Kaohsiung,2017-01-24,23.9
Kaohsiung,2017-01-25,24.5
Kaohsiung,2017-01-26,23.4
Kaohsiung,2017-01-27,25.8
Kaohsiung,2017-01-28,24.5
Kaohsiung,2017-01-29,26.5
Kaohsiung,2017-01-30,26.3
Kaohsiung,2017-01-31,22.8
Kaohsiung,2017-02-01,24.8
Kaohsiung,2017-02-02,23.6
Kaohsiung,2017-02-03,24.0
Kaohsiung,2017-02-04,24.8
Kaohsiung,2017-02-05,26.4
Kaohsiung,2017-02-06,25.1
Kaohsiung,2017-02-07,23.7
Kaohsiung,2017-02-08,24.8
Kaohsiung,2017-02-09,21.3
Kaohsiung,2017-02-10,18.2
Kaohsiung,2017-02-11,16.5
Kaohsiung,2017-02-12,20.8
Kaohsiung,2017-02-13,23.4
Kaohsiung,2017-02-14,24.0
Kaohsiung,2017-02-15,23.8
Kaohsiung,2017-02-16,25.7
Kaohsiung,2017-02-17,26.7
Kaohsiung,2017-02-18,26.0
Kaohsiung,2017-02-19,25.3
Kaohsiung,2017-02-20,28.5
Kaohsiung,2017-02-21,26.4
Kaohsiung,2017-02-22,29.4
Kaohsiung,2017-02-23,28.7
Kaohsiung,2017-02-24,25.0
Kaohsiung,2017-02-25,24.9
Kaohsiung,2017-02-26,25.4
Kaohsiung,2017-02-27,24.0
Kaohsiung,2017-02-28,24.8
Kaohsiung,2017-03-01,26.3
Kaohsiung,2017-03-02,25.5
Kaohsiung,2017-03-03,24.6
Kaohsiung,2017-03-04,25.9
Kaohsiung,2017-03-05,28.0
Kaohsiung,2017-03-06,27.7
Kaohsiung,2017-03-07,22.0
Kaohsiung,2017-03-08,19.6
Kaohsiung,2017-03-09,25.1
Kaohsiung,2017-03-10,29.5
Kaohsiung,2017-03-11,26.5
Kaohsiung,2017-03-12,28.0
Kaohsiung,2017-03-13,29.5
Kaohsiung,2017-03-14,25.2
Kaohsiung,2017-03-15,24.2
Kaohsiung,2017-03-16,24.6
Kaohsiung,2017-03-17,26.6
Kaohsiung,2017-03-18,26.7
Kaohsiung,2017-03-19,29.5
Kaohsiung,2017-03-20,28.1
Kaohsiung,2017-03-21,29.6
Kaohsiung,2017-03-22,27.5
Kaohsiung,2017-03-23,32.6
Kaohsiung,2017-03-24,27.4
Kaohsiung,2017-03-25,29.2
Kaohsiung,2017-03-26,19.9
Kaohsiung,2017-03-27,26.6
Kaohsiung,2017-03-28,26.3
Kaohsiung,2017-03-29,28.7
Kaohsiung,2017-03-30,27.9
Kaohsiung,2017-03-31,29.3
Kaohsiung,2017-04-01,23.7
Kaohsiung,2017-04-02,25.0
Kaohsiung,2017-04-03,26.5
Kaohsiung,2017-04-04,26.3
Kaohsiung,2017-04-05,28.0
Kaohsiung,2017-04-06,30.2
Kaohsiung,2017-04-07,29.7
Kaohsiung,2017-04-08,29.7
Kaohsiung,2017-04-09,29.2
Kaohsiung,2017-04-10,31.7
Kaohsiung,2017-04-11,30.9
Kaohsiung,2017-04-12,26.8
Kaohsiung,2017-04-13,25.2
Kaohsiung,2017-04-14,29.0
Kaohsiung,2017-04-15,30.6
Kaohsiung,2017-04-16,32.2
Kaohsiung,2017-04-17,30.9
Kaohsiung,2017-04-18,30.4
Kaohsiung,2017-04-19,30.3
Kaohsiung,2017-04-20,31.1
Kaohsiung,2017-04-21,30.3
Kaohsiung,2017-04-22,25.6
Kaohsiung,2017-04-23,24.4
Kaohsiung,2017-04-24,27.9
Kaohsiung,2017-04-25,29.4
Kaohsiung,2017-04-26,30.7
Kaohsiung,2017-04-27,28.5
Kaohsiung,2017-04-28,25.4
Kaohsiung,2017-04-29,27.3
Kaohsiung,2017-04-30,28.4
Kaohsiung,2017-05-01,29.5
Kaohsiung,2017-05-02,30.6
Kaohsiung,2017-05-03,30.9
Kaohsiung,2017-05-04,31.5
Kaohsiung,2017-05-05,31.5
Kaohsiung,2017-05-06,32.1
Kaohsiung,2017-05-07,30.4
Kaohsiung,2017-05-08,31.0
Kaohsiung,2017-05-09,32.2
Kaohsiung,2017-05-10,31.7
Kaohsiung,2017-05-11,31.6
Kaohsiung,2017-05-12,33.2
Kaohsiung,2017-05-13,32.0
Kaohsiung,2017-05-14,32.3
Kaohsiung,2017-05-15,30.6
Kaohsiung,2017-05-16,28.9
Kaohsiung,2017-05-17,28.5
Kaohsiung,2017-05-18,28.8
Kaohsiung,2017-05-19,28.9
Kaohsiung,2017-05-20,29.1
Kaohsiung,2017-05-21,32.2
Kaohsiung,2017-05-22,31.1
Kaohsiung,2017-05-23,31.2
Kaohsiung,2017-05-24,31.0
Kaohsiung,2017-05-25,30.1
Kaohsiung,2017-05-26,29.4
Kaohsiung,2017-05-27,30.3
Kaohsiung,2017-05-28,30.1
Kaohsiung,2017-05-29,30.8
Kaohsiung,2017-05-30,29.6
Kaohsiung,2017-05-31,31.1
Kaohsiung,2017-06-01,31.6
Kaohsiung,2017-06-02,30.7
Kaohsiung,2017-06-03,30.5
Kaohsiung,2017-06-04,28.8
Kaohsiung,2017-06-05,32.5
Kaohsiung,2017-06-06,32.9
Kaohsiung,2017-06-07,33.1
Kaohsiung,2017-06-08,33.0
Kaohsiung,2017-06-09,33.1
Kaohsiung,2017-06-10,33.4
Kaohsiung,2017-06-11,33.7
Kaohsiung,2017-06-12,33.6
Kaohsiung,2017-06-13,33.9
Kaohsiung,2017-06-14,30.7
Kaohsiung,2017-06-15,27.0
Kaohsiung,2017-06-16,31.6
Kaohsiung,2017-06-17,30.6
Kaohsiung,2017-06-18,31.3
Kaohsiung,2017-06-19,32.0
Kaohsiung,2017-06-20,31.9
Kaohsiung,2017-06-21,32.4
Kaohsiung,2017-06-22,33.3
Kaohsiung,2017-06-23,32.7
Kaohsiung,2017-06-24,32.5
Kaohsiung,2017-06-25,33.1
Kaohsiung,2017-06-26,33.1
Kaohsiung,2017-06-27,33.1
Kaohsiung,2017-06-28,33.0
Kaohsiung,2017-06-29,32.9
Kaohsiung,2017-06-30,33.0
